class,file,bytes,status,H,W,dtype,z_min_nm,z_max_nm,z_mean_nm,z_std_nm,pixel_to_nm,scan_um,channel
SucheOko,29_PM_suche_oko.004,95592448,ok,3456,3456,float64,-745.694,603.150,-270.501,156.700,26.770,92.52,Height
SucheOko,29_PM_suche_oko.005,2138112,ok,512,512,float64,-199.494,361.169,-23.792,77.156,97.656,50.00,Height
SucheOko,35_PM_suche_oko.001,1220608,ok,384,384,float64,-699.970,323.583,-341.054,131.359,240.929,92.52,Height
SucheOko,35_PM_suche_oko.000,2138112,ok,512,512,float64,-149.043,533.349,23.205,82.515,97.656,50.00,Height
SucheOko,35_PM_suche_oko.021,2138112,ok,512,512,float64,-54.001,883.857,262.317,141.238,180.697,92.52,Height
SucheOko,35_PM_suche_oko.026,2138112,ok,512,512,float64,-267.819,1206.991,97.853,165.148,180.697,92.52,Height
SucheOko,35_PM_suche_oko.010,2138112,ok,512,512,float64,-28.416,1564.204,401.477,179.003,180.697,92.52,Height
SucheOko,35_PM_suche_oko.011,209664000,ok,3722,7040,float64,-1487.300,3820.383,-561.596,343.238,13.142,48.91,Height
SucheOko,29_PM_suche_oko.000,2138112,ok,512,512,float64,-791.541,2483.407,54.443,261.812,180.697,92.52,Height
SucheOko,29_PM_suche_oko.007,2138112,ok,512,512,float64,-510.881,543.911,-102.253,165.485,180.697,92.52,Height
SucheOko,29_PM_suche_oko.009,2138112,ok,512,512,float64,-253.104,990.313,52.898,120.839,180.697,92.52,Height
SucheOko,29_PM_suche_oko.008,2138112,ok,512,512,float64,86.593,1230.149,446.443,140.090,180.697,92.52,Height
SucheOko,29_PM_suche_oko.006,2138112,ok,512,512,float64,156.190,738.930,338.404,79.367,97.656,50.00,Height
SucheOko,29_PM_suche_oko.001,95592448,ok,3456,3456,float64,-662.769,283.015,-290.090,139.174,26.770,92.52,Height
Diabetes,Dusan2_DM_STER_mikro_281123.006,8429568,ok,1024,1024,float64,2.368,953.895,418.460,143.556,90.348,92.52,Height
Diabetes,Dusan2_DM_STER_mikro_281123.007,8429568,ok,1024,1024,float64,-845.013,23.695,-468.930,133.993,90.348,92.52,Height
Diabetes,37_DM.010,2138112,ok,512,512,float64,-223.105,759.539,137.703,150.871,180.697,92.52,Height
Diabetes,Dusan1_DM_STER_mikro_281123.011,52469760,ok,2560,2560,float64,-1594.942,1809.785,-600.497,246.070,36.139,92.52,Height
Diabetes,Dusan1_DM_STER_mikro_281123.010,565248,ok,256,256,float64,-823.683,678.808,-243.622,200.398,361.394,92.52,Height
Diabetes,DM_01.03.2024_LO.005,8429568,ok,1024,1024,float64,-489.621,541.843,-85.059,132.906,48.828,50.00,Height
Diabetes,DM_01.03.2024_LO.002,2138112,ok,512,512,float64,-1135.489,524.924,-304.655,258.335,180.697,92.52,Height
Diabetes,DM_01.03.2024_LO.003,69378048,ok,2944,2944,float64,-469.991,625.548,32.171,170.510,31.426,92.52,Height
